,name,geometry
123,Cotonou,POINT (2.4043547908879517 6.3629803922426715)
124,Sofia,POINT (23.3147082 42.6852953)
125,Minsk,POINT (27.5646813 53.9019233)
126,Thimphu,POINT (89.639014 27.4729859)
127,Gaborone,POINT (25.9119478 -24.6463135)
128,Canberra,POINT (149.1290262 -35.2830285)
129,Ouagadougou,POINT (-1.5266696 12.3722618)
130,Sarajevo,POINT (18.3830017 43.8500224)
131,Naypyidaw,POINT (96.1166727 19.7685029)
132,Nuku'alofa,POINT (-175.2205645 -21.1385124)
133,Hargeisa,POINT (44.06531 9.5600224)
134,Victoria,POINT (55.4499898 -4.6166317)
135,São Tomé,POINT (6.729649806269851 0.3374664069826239)
136,Apia,POINT (-171.76859897688345 -13.835714958212938)
137,Valletta,POINT (14.5147107 35.8997325)
138,Malé,POINT (73.5089005260037 4.17203699470936)
139,Jerusalem,POINT (35.2066259 31.7784078)
140,Praia,POINT (-23.5166889 14.916698)
141,Nassau,POINT (-77.3500438 25.0833901)
142,Nicosia,POINT (33.3666349 35.1666765)
143,Wellington,POINT (174.77720094690068 -41.2920679923151)
144,Hanoi,POINT (105.8480683 21.0352731)
145,Ankara,POINT (32.8624458 39.9291844)
146,Budapest,POINT (19.0813748 47.5019522)
147,Sanaa,POINT (44.2046475 15.3566792)
148,Bucharest,POINT (26.0980008 44.4353177)
149,Damascus,POINT (36.29805 33.5019799)
150,Lisbon,POINT (-9.1468122 38.7246687)
151,Khartoum,POINT (32.5322334 15.5900241)
152,Oslo,POINT (10.7480333 59.9186361)
153,Warsaw,POINT (21.005346737742283 52.23087197353951)
154,Pyongyang,POINT (125.7527449 39.0213846)
155,Dar es Salaam,POINT (39.266396 -6.7980667)
156,Dublin,POINT (-6.256979517281132 53.34673124898314)
157,Monrovia,POINT (-10.7996604 6.3145816)
158,Kuala Lumpur,POINT (101.68869929106194 3.1397969439352504)
159,Havana,POINT (-82.366128 23.1339047)
160,Prague,POINT (14.422939486203868 50.0869665373215)
161,Kuwait City,POINT (47.9763553 29.3716635)
162,Santo Domingo,POINT (-69.92974231579055 18.470745058048376)
163,Accra,POINT (-0.2186616 5.5519805)
164,Tripoli,POINT (13.1800118 32.8925)
165,Tel Aviv,POINT (34.7680659 32.0819373)
166,Helsinki,POINT (24.932456915043964 60.16380384948568)
167,København,POINT (12.5615399 55.68051)
168,Abidjan,POINT (-4.020206835187587 5.3231260722445715)
169,Brasília,POINT (-47.9179981 -15.7813944)
170,Brussels,POINT (4.3313707 50.8352629)
171,Dhaka,POINT (90.4066336 23.7250056)
172,Luanda,POINT (13.2324812 -8.8363403)
173,Algiers,POINT (3.0486067 36.7650107)
174,Yangon,POINT (96.1647318 16.7853)
175,San Francisco,POINT (-122.39959956304557 37.784262651527904)
176,Denver,POINT (-104.9859618 39.7411339)
177,Houston,POINT (-95.34843625672217 29.741272831862542)
178,Miami,POINT (-80.2260519 25.7895566)
179,Atlanta,POINT (-84.36764186571386 33.73945728378348)
180,Chicago,POINT (-87.63523655322338 41.847961283364114)
181,Caracas,POINT (-66.9189831 10.5029444)
182,Kyiv,POINT (30.5146821 50.4353132)
183,Dubai,POINT (55.28694561354246 25.21491189371225)
184,Tashkent,POINT (69.26882294266261 41.30382822156198)
185,Madrid,POINT (-3.6852975 40.4019721)
186,Geneva,POINT (6.140028 46.2100075)
187,Stockholm,POINT (18.066300168534497 59.324127204007475)
188,Bangkok,POINT (100.5146988 13.7519451)
189,Lima,POINT (-77.052008 -12.0460668)
190,Dakar,POINT (-17.475076 14.7177776)
191,Johannesburg,POINT (28.0280639 -26.1680989)
192,Amsterdam,POINT (4.9146943 52.3519145)
193,Casablanca,POINT (-7.6183133 33.6019221)
194,Seoul,POINT (126.9977851 37.568295)
195,Manila,POINT (120.9802713 14.6061048)
196,Monterrey,POINT (-100.3319306 25.671941)
197,Berlin,POINT (13.3996028 52.5237645)
198,Ürümqi,POINT (87.5730598 43.8069581)
199,Chengdu,POINT (104.0680736 30.6719459)
200,?saka,POINT (135.50375419006232 34.691095244477914)
201,Kinshasa,POINT (15.313026 -4.3277782)
202,New Delhi,POINT (77.19998 28.600023)
203,Bengaluru,POINT (77.5580639 12.971941)
204,Athens,POINT (23.7313752 37.9852721)
205,Baghdad,POINT (44.3919229 33.3405944)
206,Addis Ababa,POINT (38.6980586 9.0352562)
207,Tehran,POINT (51.4223982 35.6738886)
208,Vancouver,POINT (-123.1235901 49.2753624)
209,Toronto,POINT (-79.38945855491194 43.66464454743429)
210,Buenos Aires,POINT (-58.43251268766426 -34.61071459139255)
211,Kabul,POINT (69.1813142 34.5186361)
212,Vienna,POINT (16.3646931 48.2019611)
213,Melbourne,POINT (144.9730704 -37.8180855)
214,Taipei,POINT (121.5683333 25.0358333)
215,Auckland,POINT (174.763027 -36.8480549)
216,Los Angeles,POINT (-118.23198647223317 34.049219260337075)
217,"Washington,  D.C.",POINT (-77.0113644 38.9014952)
218,New York,POINT (-73.99571754361698 40.72156174972766)
219,London,POINT (-0.1186677 51.5019406)
220,Istanbul,POINT (28.97427681675554 41.01760173507249)
221,Riyadh,POINT (46.720487024887696 24.634497474837755)
222,Cape Town,POINT (18.4330423 -33.9180651)
223,Moscow,POINT (37.613577 55.75411)
224,Mexico City,POINT (-99.1329341 19.4443883)
225,Lagos,POINT (3.3895852 6.4452075)
226,Rome,POINT (12.4813126 41.8979015)
227,Beijing,POINT (116.39420089260611 39.901720309862675)
228,Nairobi,POINT (36.814711 -1.2814009)
229,Jakarta,POINT (106.8274918 -6.1724718)
230,Bogota,POINT (-74.0852898 4.5983694)
231,Cairo,POINT (31.2480224 30.0519062)
232,Shanghai,POINT (121.4345588 31.2183983)
233,Tokyo,POINT (139.7494616 35.6869628)
234,Mumbai,POINT (72.8758393972653 19.06840847529168)
235,Paris,POINT (2.3529924615392135 48.85809231626911)
236,Santiago,POINT (-70.65050407285783 -33.44020506918074)
237,Kolkata,POINT (88.36912550443886 22.569578883795778)
238,Rio de Janeiro,POINT (-43.212117466834385 -22.907308056882364)
239,São Paulo,POINT (-46.6269658 -23.5567337)
240,Sydney,POINT (151.2125477744749 -33.87137339218338)
241,Singapore,POINT (103.8538748 1.2949793)
242,Hong Kong,POINT (114.1830635 22.3069268)
